0 The Fool
I The Magician
II The High Priestess
III The Empress
IV The Emperor
V The Hierophant
VI The Lovers
VII The Chariot
VIII Strength
IX The Hermit
X The Wheel
XI Justice
XII The Hanged Man
XIII Death
XIV Temperance
XV The Devil
XVI The Tower
XVII The Stars
XVIII The Moon
XIX The Sun
XX Judgement
XXI The World
